student_id,subject_id,mark
30934,741,4
88092,536,4
82432,856,4
48343,328,2
56253,280,5
59278,707,4
19417,294,3
74182,377,2
9344,350,4
21890,507,4
89075,537,5
34358,605,4
79469,402,3
9976,763,5
7105,401,2
21003,169,5
24453,427,4
16151,537,5
87576,800,2
69491,272,5
52062,796,5
34415,305,5
33008,491,5
76161,864,4
57410,138,4
8351,595,5
10612,706,3
10895,513,4
45702,190,5
39329,801,5
69792,848,2
4458,662,2
49719,342,2
69495,684,3
78090,546,4
35138,667,5
34029,826,5
43387,892,2
44973,631,4
40309,830,3
11762,605,5
88436,452,2
77054,287,5
82958,251,3
836,245,2
35715,581,3
48342,699,5
5312,647,2
20783,363,2
38274,407,2
80301,282,4
76088,325,4
76423,298,5
83753,700,4
62092,606,2
87592,484,5
53424,896,2
13766,125,5
7596,340,4
85101,721,4
27655,803,3
36446,196,2
39028,838,2
60891,216,4
67907,840,2
60258,353,5
70323,678,2
14394,689,3
2477,791,4
29663,780,2
86762,868,4
83937,132,2
30759,498,5
29712,431,5
8381,721,2
51751,205,4
5083,181,2
27288,827,4
63428,232,3
65788,337,3
65403,843,5
24797,370,3
73679,195,2
25590,623,4
4785,821,3
36308,880,3
66764,709,5
25837,460,5
20515,459,3
43978,800,4
3562,380,3
83575,101,2
2172,811,4
47488,400,3
22066,420,4
60829,650,4
30837,545,5
35037,110,2
37398,870,5
3360,806,5
80331,420,4
35058,827,3
14954,280,4
16086,795,3
68275,729,2
47617,808,5
36525,381,5
38005,668,3
37761,699,5
48827,157,5
25509,789,4
38851,495,3
5632,400,5
10806,694,2
89517,848,5
36949,726,2
42119,480,3
14226,519,3
87619,828,5
39013,278,2
43681,382,2
55007,883,3
66755,752,4
7723,711,3
72543,798,4
89321,621,5
17967,241,5
19611,525,4
17971,667,5
49102,261,5
40574,880,5
10622,553,5
62726,397,2
17099,827,5
34835,756,2
20793,102,4
60443,898,4
85786,528,4
61748,147,5
16495,450,4
2292,124,3
65005,456,3
79791,790,3
3501,119,3
1689,646,2
45837,271,2
30571,615,5
3320,665,4
14607,731,2
64823,474,3
5360,182,5
14154,569,4
88795,411,3
11564,306,4
48472,810,5
84332,318,3
1421,139,4
14338,325,4
22564,475,5
17907,202,2
18730,697,3
21273,418,4
73946,171,5
17016,105,5
52770,325,3
35723,526,3
77037,497,5
85435,251,5
25548,212,3
27324,283,3
68602,164,4
26687,452,2
27298,477,2
87435,170,5
72314,854,2
20583,599,5
75576,344,4
54466,299,3
26301,646,5
40404,889,5
83152,680,5
18223,714,5
31747,707,3
6056,711,2
61565,709,5
55636,353,2
45520,806,2
22101,220,4
50911,289,2
70651,438,3
51297,598,2
37190,444,4
89451,348,2
58571,276,2
29201,593,5
49724,796,5
30913,706,2
34487,146,3
26187,851,2
50130,599,4
64881,734,4
84353,314,5
33923,645,4
49168,784,2
47119,152,3
46686,308,2
55825,900,4
56837,393,2
83322,865,5
117,189,4
50037,421,3
88321,750,3
88317,558,3
76999,892,4
17420,900,4
8882,811,4
44194,403,5
89012,378,4
9757,406,4
49737,884,4
66000,450,5
24143,581,4
55445,328,2
38071,616,4
81117,783,5
6213,214,5
3571,845,2
2444,125,3
33529,419,4
84626,582,5
69207,813,2
56708,153,3
31387,606,2
47061,602,3
6774,103,5
11309,483,2
74593,335,4
10276,211,5
8183,357,3
4830,233,4
2202,741,2
22647,758,3
342,555,4
34412,476,3
43270,230,2
21007,507,3
89960,329,4
20961,286,2
85025,324,3
89364,170,2
33462,582,2
79211,734,4
46455,762,2
22230,893,5
36536,871,4
52826,342,2
11993,126,4
89481,127,3
84629,316,2
49852,653,4
43887,404,2
86272,654,3
35113,448,4
68369,407,4
65073,723,5
54989,418,2
44285,129,5
1614,847,5
86754,720,4
4372,213,2
80070,318,3
66764,239,3
19578,215,3
49500,852,4
17304,717,4
23139,677,2
89101,735,4
36758,448,4
88142,139,5
64183,381,2
24774,327,2
49654,744,5
57248,299,5
55762,766,5
37495,746,2
44612,338,4
16278,725,4
86905,296,3
9162,900,2
15997,508,3
31420,425,5
75923,516,4
15036,822,3
56551,508,2
36855,290,5
63895,341,4
42450,251,3
8369,156,5
23275,781,5
69842,209,5
77927,194,4
28872,857,4
76825,789,3
49343,652,5
68660,150,2
2459,301,5
83320,176,3
56293,235,5
22467,679,5
71734,782,4
72899,748,4
35176,577,4
31220,251,5
59355,244,4
44159,411,4
65865,687,4
40258,808,5
83062,803,4
56555,245,2
58906,801,5
30112,844,5
85690,191,4
26386,405,3
77112,214,5
12236,311,2
73555,201,2
56315,423,2
13052,753,2
31705,711,5
62235,806,2
1575,500,5
26882,738,4
57870,655,2
85307,418,5
7808,184,5
62352,112,4
67466,644,2
16014,395,4
43991,635,3
86462,867,4
49675,491,3
38945,869,2
18420,410,5
70281,801,5
39106,438,2
1123,581,4
69599,780,5
4955,273,4
89995,433,4
40300,796,2
14188,257,4
82759,730,5
37130,310,4
48321,877,3
14069,142,2
31222,317,3
31481,538,4
9704,155,5
75723,256,2
85312,708,2
64092,733,4
76491,865,5
70026,381,2
53982,688,3
22041,383,2
28523,693,4
11891,192,4
82422,878,3
35944,801,2
66285,430,3
26638,472,4
48420,536,3
40170,406,2
33888,888,3
89666,338,5
75726,798,5
47017,382,5
18876,640,5
67238,164,5
62539,880,2
18272,585,5
45058,365,5
16774,890,2
14417,123,3
19052,252,3
54137,797,4
39414,672,5
73924,365,4
77856,613,4
14861,754,5
60214,565,3
88600,620,5
2317,376,4
46278,701,4
82132,193,4
23178,781,5
89366,608,2
67685,497,3
21002,393,5
26281,638,3
88320,220,2
22231,176,3
19367,495,3
23030,812,3
70421,183,5
53332,569,3
19627,403,4
35505,379,4
8071,272,3
48198,251,3
52615,571,2
3157,486,5
53391,217,5
68464,281,5
14644,340,2
45696,850,5
80544,240,5
35338,228,4
58308,109,2
30976,703,2
58612,633,5
34801,109,2
34884,860,5
24089,777,2
59628,202,2
78136,190,4
19047,698,4
22640,712,4
62027,154,2
63555,484,2
55525,277,4
74914,121,4
57443,555,4
70422,614,3
65566,699,4
66244,230,3
34027,424,2
20439,703,4
84375,465,2
52068,123,3
84415,805,2
27260,575,2
36915,389,4
27079,463,2
3513,115,3
20222,191,2
5121,205,2
62147,687,4
12831,373,2
27050,606,4
67101,855,3
14177,759,2
3285,572,4
18608,476,2
85917,776,4
52039,419,2
46826,464,4
7684,773,5
11010,466,5
8281,741,2
47874,682,2
69522,273,2
46709,198,5
65560,772,3
14225,656,5
59538,756,2
9392,178,2
85068,648,4
40188,811,2
43247,348,5
40258,287,5
60369,835,3
54940,793,4
15637,285,4
74506,552,3
6573,789,5
44873,174,3
60014,349,5
16171,274,3
3424,454,4
51600,805,3
26633,377,4
38884,868,5
15100,439,4
63558,288,4
72286,515,2
81783,204,4
71924,580,4
37332,514,3
66076,697,2
45454,108,3
33629,717,3
4314,862,2
49724,272,4
80527,780,4
72112,772,5
74014,317,5
53079,759,4
82560,816,4
84942,278,3
53310,217,4
54118,198,5
27503,395,4
85758,148,4
18681,107,2
20200,830,5
12377,344,2
80181,433,2
56545,417,3
15327,845,4
55457,580,3
63547,486,2
75450,519,3
14209,373,5
87661,512,2
52842,172,4
34452,836,5
77302,366,2
48688,596,2
69321,848,2
71019,582,4
16224,164,3
41437,265,2
77187,247,2
47042,813,2
38771,383,2
4006,858,4
74388,569,4
83800,267,3
49990,759,4
59384,565,3
53286,456,4
50782,438,3
67239,626,2
87034,771,2
67516,774,5
48255,593,2
78465,107,3
52219,400,4
81557,879,5
52396,345,3
15359,670,4
89630,803,3
44224,491,3
29466,820,2
3300,365,2
43760,131,4
8582,390,5
6940,851,4
65488,606,4
67228,557,5
13340,794,2
72399,900,3
37828,841,4
79219,457,5
23543,307,5
25684,681,3
32748,638,2
39144,756,2
25915,519,3
12649,621,4
72048,699,3
11802,791,3
23945,331,2
10839,516,5
42945,385,2
21337,136,5
14850,219,3
63063,815,2
74061,718,4
50759,133,4
82725,331,2
14921,220,3
44048,272,5
23211,726,4
86038,310,2
18983,430,2
7091,771,2
35349,361,2
87956,852,3
80098,316,2
43517,210,3
18864,240,5
60907,276,3
49339,338,5
80656,543,4
70907,436,4
28986,579,5
33457,892,5
87196,120,3
66984,443,2
14554,610,2
75315,728,5
55718,713,4
10940,635,3
13750,703,4
50477,206,5
64724,173,3
84600,562,3
20618,785,2
69466,418,4
17539,335,4
32022,226,5
74277,807,4
17944,700,5
31391,133,5
34621,250,5
56322,682,3
11453,529,4
